rank,cluster_id,representative_pic_id,pic_ids,pic_count,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,core_total_likes,core_post_likes,core_comment_likes,core_source_count,volume_source_count,source_note_count,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,representative_local_path,image_name
56,vc0056,006rAUqmgy1fmoq833yu2j31400qo10y,006rAUqmgy1fmoq833yu2j31400qo10y 006rAUqmgy1fmd4c1g3dmj31400qo10y,2,821,821,0,4,0,184,184,0,3,1,4,1440,960,https://wx3.sinaimg.cn/mw2000/006rAUqmgy1fmoq833yu2j31400qo10y.jpg,https://wx3.sinaimg.cn/orj360/006rAUqmgy1fmoq833yu2j31400qo10y.jpg,https://m.weibo.cn/detail/4187512186553926,"#黄婷婷#⚡#五为皇,为吾黄# 2015年2月13日~2017年12月21日 1042天 辛苦了，黄副队。@SNH48-黄婷婷 再见，黄副队。你好，黄婷婷。 从此以后，循着光芒，举世无双。",黄婷婷 2015 | 黄婷婷 总选 返图,"[single_image_post 637 single_image_context_volume] #黄婷婷#⚡#五为皇,为吾黄# 2015年2月13日~2017年12月21日 1042天 辛苦了，黄副队。@SNH48-黄婷婷 再见，黄副队。你好，黄婷婷。 从此以后，循着光芒，举世无双。 https://m.weibo.cn/detail/4187512186553926 || [single_image_post 184 strong_image_keyword] #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ https://m.weibo.cn/detail/4183873426753410 || [single_image_post 0 strong_image_keyword] #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ https://m.weibo.cn/detail/4254035076255353 || [single_image_post 0 strong_image_keyword] //@爱去踢踢的小zero://@羊驼烧酒JOooo:看着背后成员的目光突然觉得很想哭 希望她们瞻仰的是真的光芒 希望她们能不辜负你的期望来追赶超越不要玷污了偶像 因为在我刚刚喜欢上这个团队的时候真心的把偶像当做一种梦想的寄托 而不该是如今这样的丑陋难看 #黄婷婷#⚡#笑颜一番黄婷婷# 【珍藏已久的总选返图】 @SNH48-黄婷婷 黄婷婷，我们一起走花路吧！ https://m.weibo.cn/detail/4183926589216135",data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/006rAUqmgy1fmoq833yu2j31400qo10y.jpg,top01_vc0056_006rAUqmgy1fmoq833yu2j31400qo10y.jpg
5,vc0005,656c5467gy1fm9hy9hfizj20xn0mfdug,656c5467gy1fm9hy9hfizj20xn0mfdug,1,657,657,0,2,0,657,657,0,2,0,2,1211,807,https://wx2.sinaimg.cn/mw2000/656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,https://wx2.sinaimg.cn/orj360/656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,https://m.weibo.cn/detail/4182738191387891,#黄婷婷##素手遮天黄婷婷# 浦东机场接机返图 很欢乐的气氛,黄婷婷 机场,[single_image_post 642 strong_image_keyword] #黄婷婷##素手遮天黄婷婷# 浦东机场接机返图 很欢乐的气氛 https://m.weibo.cn/detail/4182738191387891 || [single_image_post 15 strong_image_keyword] #黄婷婷# ⚡#30天安利黄婷婷# 你笑得这么开心，我的天空星星都亮了 #黄婷婷##素手遮天黄婷婷# 浦东机场接机返图 很欢乐的气氛 https://m.weibo.cn/detail/4182740074954370,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/001_656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,top02_vc0005_656c5467gy1fm9hy9hfizj20xn0mfdug.jpg
167,vc0167,0063Su99gy1g6490313mvj313y0u0wmi,0063Su99gy1g6490313mvj313y0u0wmi 006FAtPjgy1g649a76h87j313y0u0jyy,2,535,535,0,2,0,68,68,0,1,1,2,1438,1080,https://wx1.sinaimg.cn/mw2000/0063Su99gy1g6490313mvj313y0u0wmi.jpg,https://wx1.sinaimg.cn/orj360/0063Su99gy1g6490313mvj313y0u0wmi.jpg,https://m.weibo.cn/detail/4406774079212561,黄婷婷 来源@EcsTasY鹅,,[single_image_post 467 single_image_context_volume] 黄婷婷 来源@EcsTasY鹅 https://m.weibo.cn/detail/4406774079212561 || [single_image_post 68 strong_image_keyword] 黄婷婷 四舍五入晃婷发自拍了？ https://m.weibo.cn/detail/4406784175802722,data/weibo_huangtingting_image_assets/analysis/top_images/files/080_0063Su99gy1g6490313mvj313y0u0wmi.jpg,top03_vc0167_0063Su99gy1g6490313mvj313y0u0wmi.jpg
11,vc0011,006fXe6Ogy1fo3rd5qxtbj315o0rs4qq,006fXe6Ogy1fo3rd5qxtbj315o0rs4qq 006ZvaeYly1i4aheq5c84j30u00jzae1,2,492,492,0,3,0,492,492,0,3,0,3,1500,1000,https://wx3.sinaimg.cn/mw2000/006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,https://wx3.sinaimg.cn/orj360/006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,https://m.weibo.cn/detail/4203508393768648,#黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷,黄婷婷 神图 | 黄婷婷 绝美 | 黄婷婷 返图,[post_ref_p9 466 strong_image_keyword] #黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203508393768648 || [single_image_post 26 strong_image_keyword] 黄婷婷 求助。 想要这场光轨的其她神图，还有这张图是谁出的啊，太喜欢了。 https://m.weibo.cn/detail/5198646901474417 || [post_ref_p9 0 strong_image_keyword] #一心一意黄婷婷##一生有你黄婷婷#最后那张真的是绝了！！飞扬起的裙摆绝美绝赞！！还有“紫光”护佑犹如漫画中的酷帅场景棒呆！！ #黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203804263587075,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/002_006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,top04_vc0011_006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg
14,vc0014,659ded68gy1fzsi1cd585j22h73pthea,659ded68gy1fzsi1cd585j22h73pthea,1,465,465,0,2,0,465,465,0,2,0,2,2048,3072,https://wx1.sinaimg.cn/mw2000/659ded68gy1fzsi1cd585j22h73pthea.jpg,https://wx1.sinaimg.cn/orj360/659ded68gy1fzsi1cd585j22h73pthea.jpg,https://m.weibo.cn/detail/4335392292869271,黄婷婷🎙️#黄婷婷重庆春晚# 【190122 重庆春晚】返图9P 我掉进爱情悬崖 跌太深爬不出来 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p9 465 strong_image_keyword] 黄婷婷🎙️#黄婷婷重庆春晚# 【190122 重庆春晚】返图9P 我掉进爱情悬崖 跌太深爬不出来 @SNH48-黄婷婷 https://m.weibo.cn/detail/4335392292869271 || [post_ref_p9 0 strong_image_keyword] #黄婷婷重庆春晚# 呜呜呜@SNH48-黄婷婷 黄婷婷🎙️#黄婷婷重庆春晚# 【190122 重庆春晚】返图9P 我掉进爱情悬崖 跌太深爬不出来 @SNH48-黄婷婷 https://m.weibo.cn/detail/4335392708848037,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/659ded68gy1fzsi1cd585j22h73pthea.jpg,top05_vc0014_659ded68gy1fzsi1cd585j22h73pthea.jpg
16,vc0016,656c5467gy1fm9lp8fgvsj23hv2bxnpe,656c5467gy1fm9lp8fgvsj23hv2bxnpe,1,428,428,0,1,0,428,428,0,1,0,1,2048,1365,https://wx1.sinaimg.cn/mw2000/656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,https://wx1.sinaimg.cn/orj360/656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,https://m.weibo.cn/detail/4182770932046854,#黄婷婷##30天安利黄婷婷# 171208 浦东机场接机返图 @SNH48-黄婷婷,黄婷婷 机场,[single_image_post 428 strong_image_keyword] #黄婷婷##30天安利黄婷婷# 171208 浦东机场接机返图 @SNH48-黄婷婷 https://m.weibo.cn/detail/4182770932046854,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/003_656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,top06_vc0016_656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg
17,vc0017,4c7f471cgw1f9ona3ct0aj21161jrx6q,4c7f471cgw1f9ona3ct0aj21161jrx6q,1,424,424,0,1,0,424,424,0,1,0,1,1338,2007,https://ww4.sinaimg.cn/mw2000/4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,https://ww4.sinaimg.cn/orj360/4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,https://m.weibo.cn/detail/4040788768141865,#李艺彤##黄婷婷# 11月11日 深圳 SNH48 2016猫女王加冕盛典 高清图9p,黄婷婷 高清,[post_ref_p9 424 strong_image_keyword] #李艺彤##黄婷婷# 11月11日 深圳 SNH48 2016猫女王加冕盛典 高清图9p https://m.weibo.cn/detail/4040788768141865,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/004_4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,top07_vc0017_4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg
19,vc0019,00654gxwgy1fs7kh4imtvj30xc1e04lp,00654gxwgy1fs7kh4imtvj30xc1e04lp,1,422,422,0,1,0,422,422,0,1,0,1,1200,1800,https://wx4.sinaimg.cn/mw2000/00654gxwgy1fs7kh4imtvj30xc1e04lp.jpg,https://wx4.sinaimg.cn/orj360/00654gxwgy1fs7kh4imtvj30xc1e04lp.jpg,https://m.weibo.cn/detail/4249822405690407,黄婷婷 ☝🏻 #五选第一黄婷婷# 180609 握手会返图 ht：这两张券你看看外面的ht吧 婷：嗯…好叭～ （姐姐整个转过身对着外面的粉丝笑） 外面ht：啊啊啊啊啊啊啊啊啊啊啊啊啊啊 这是stf已经听到声音来制止 一片嘈杂声中： ht：你再比个心吧～ 姐姐立马双手比心～ #Super Duper-AOA[音乐]# ...全文,,[post_ref_p2 422 strong_image_keyword] 黄婷婷 ☝🏻 #五选第一黄婷婷# 180609 握手会返图 ht：这两张券你看看外面的ht吧 婷：嗯…好叭～ （姐姐整个转过身对着外面的粉丝笑） 外面ht：啊啊啊啊啊啊啊啊啊啊啊啊啊啊 这是stf已经听到声音来制止 一片嘈杂声中： ht：你再比个心吧～ 姐姐立马双手比心～ #Super Duper-AOA[音乐]# ...全文 https://m.weibo.cn/detail/4249822405690407,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_90k_author_filtered/cluster_source_images/00654gxwgy1fs7kh4imtvj30xc1e04lp.jpg,top08_vc0019_00654gxwgy1fs7kh4imtvj30xc1e04lp.jpg
21,vc0021,7ab75438gy1ftterczhrnj20wq1f77wh,7ab75438gy1ftterczhrnj20wq1f77wh,1,413,413,0,1,0,413,413,0,1,0,1,1178,1843,https://wx3.sinaimg.cn/mw2000/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,https://wx3.sinaimg.cn/orj360/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,https://m.weibo.cn/detail/4267969784248074,黄婷婷 2018/7/28总选返图 三年里也算是见证了踢踢各方面的成长，今后也要继续朝着目标努力。@SNH48-黄婷婷,黄婷婷 总选 返图,[post_ref_p3 413 strong_image_keyword] 黄婷婷 2018/7/28总选返图 三年里也算是见证了踢踢各方面的成长，今后也要继续朝着目标努力。@SNH48-黄婷婷 https://m.weibo.cn/detail/4267969784248074,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,top09_vc0021_7ab75438gy1ftterczhrnj20wq1f77wh.jpg
22,vc0022,656c5467gy1fmqvxh6pi9j20u01907wh,656c5467gy1fmqvxh6pi9j20u01907wh,1,409,409,0,2,0,409,409,0,2,0,2,1080,1620,https://wx4.sinaimg.cn/mw2000/656c5467gy1fmqvxh6pi9j20u01907wh.jpg,https://wx4.sinaimg.cn/orj360/656c5467gy1fmqvxh6pi9j20u01907wh.jpg,https://m.weibo.cn/detail/4188188707207331,#黄婷婷##30天安利黄婷婷# 171223 和顺明星慈善外务返图 2p @SNH48-黄婷婷,黄婷婷 返图 | 黄婷婷返图,[post_ref_p2 409 strong_image_keyword] #黄婷婷##30天安利黄婷婷# 171223 和顺明星慈善外务返图 2p @SNH48-黄婷婷 https://m.weibo.cn/detail/4188188707207331 || [post_ref_p2 0 strong_image_keyword] #黄婷婷##30天安利黄婷婷# 171223 和顺明星慈善外务返图 2p @SNH48-黄婷婷 https://m.weibo.cn/detail/4188866610992076,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_60k/cluster_source_images/656c5467gy1fmqvxh6pi9j20u01907wh.jpg,top10_vc0022_656c5467gy1fmqvxh6pi9j20u01907wh.jpg
