up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
孤鹜猕桃,综合知识/泛科普,17234,1,1,0,1,0,0,12.孤鹜猕桃 视频基本情况： 简单 | 高级 | 质感 我这个月月初发现的宝藏up主。 模特出镜，妆容干净且高级，剪辑配色都很有自己的风格。,https://www.zhihu.com/question/41931111/answer/901497054
宝剑嫂基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,宝剑嫂基本情况： 红血丝 | 肿眼泡 | 黑眼圈 好可爱一女的，湖南妹子，讲着一口塑料普通话，家里养了很多猫，经常放和男友雨哥的狗粮。 微博（205万）：宝剑嫂,https://www.zhihu.com/question/41931111/answer/901497054
小猪姐姐基本情况,综合知识/泛科普,17234,1,1,0,0,0,1,小猪姐姐基本情况： 痘肌 | 白皮 | 闭口 | 瑕疵皮恢复 经常看美妆视频的话，一定认识小猪姐姐！妥妥的技术流！ 有很日常的妆容也有仙到炸的精灵妆，也有令人叹服的仿妆。话说，千玺弟弟的仿妆，四面八方响起了我的野猪叫。,https://www.zhihu.com/question/41931111/answer/901497054
小王基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,小王基本情况： 痘痘肌（现在皮肤状态不错） 博主的妆面都比较清透，睫毛夹得很不错，素颜也很美，很气质温油的一个小姐姐。 微博（14.4万）：永困王,https://www.zhihu.com/question/41931111/answer/901497054
小酒栗Joly,综合知识/泛科普,17234,1,1,0,1,0,0,10.小酒栗Joly 丽人基本情况： 内双 | 肿眼泡 时尚都市丽人小酒栗，超可爱的重庆妹子，会教很多技巧干货，技能也越来越优秀，新手推荐关注。美妆博主不少，但是有趣的灵魂可不多~ 微博（26.1万）：小酒栗Joly,https://www.zhihu.com/question/41931111/answer/901497054
想养狗的狗老师,综合知识/泛科普,17234,1,1,0,0,0,1,14.想养狗的狗老师 狗老师基本情况： 无瑕疵 |五官小巧 用一句话形容狗老师，古灵精怪的美人儿。 五官小巧精致，也是我很爱的颜，很合大家眼缘的长相。,https://www.zhihu.com/question/41931111/answer/901497054
月亮基本情况,综合知识/泛科普,17234,1,1,0,0,0,1,月亮基本情况： 黄2.5白 | 冬季混干夏季混油 眼妆配色与创意都很棒的博主，适合玩妆。 微博（2万）：月亮小姐ww,https://www.zhihu.com/question/41931111/answer/901497054
月亮小姐ww,综合知识/泛科普,17234,1,1,0,0,0,1,17.月亮小姐ww 月亮基本情况： 黄2.5白 | 冬季混干夏季混油 眼妆配色与创意都很棒的博主，适合玩妆。 微博（2万）：月亮小姐ww,https://www.zhihu.com/question/41931111/answer/901497054
栗子基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,栗子基本情况： 瑕疵皮 |肌肤泛红| 大饼脸 栗子性格很好，语言风格很有其特色。 第一次看她的视频，是十元的仿妆，惊呼也太像了吧！ 博主生病用了激素药，所以胖了不少，一直在减肥，所以她也会分享瘦身经验以及微胖女孩穿搭，很适合肉肉的女孩子学习。,https://www.zhihu.com/question/41931111/answer/901497054
栗子没有小蛮腰啦,综合知识/泛科普,17234,1,1,0,1,0,0,2.栗子没有小蛮腰啦 栗子基本情况： 瑕疵皮 |肌肤泛红| 大饼脸 栗子性格很好，语言风格很有其特色。 第一次看她的视频，是十元的仿妆，惊呼也太像了吧！,https://www.zhihu.com/question/41931111/answer/901497054
歪嘴的罐儿,综合知识/泛科普,17234,1,1,0,1,0,0,8.歪嘴的罐儿 罐子基本情况： 混油皮 | 痘痘肌 罐子的风格偏欧美风，眼妆很出色，喜欢创意欧美妆的一定要关注，配色和修容创意都让人很惊艳，偶尔也会分享辣妹穿搭。 微博（16万）：罐罐子_,https://www.zhihu.com/question/41931111/answer/901497054
毛蛋基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,毛蛋基本情况： 黑黄皮 首先恭喜毛蛋喜当妈，小宝宝还不到一个月。 最近几期，我看到她有发布孕妈妈好物推荐、月子中心攻略等视频，如果你已经是一个准妈妈了，可以关注参考她的视频。 微博（357万）：帅你一脸毛蛋,https://www.zhihu.com/question/41931111/answer/901497054
永困王,综合知识/泛科普,17234,1,1,0,1,0,0,15.永困王 小王基本情况： 痘痘肌（现在皮肤状态不错） 博主的妆面都比较清透，睫毛夹得很不错，素颜也很美，很气质温油的一个小姐姐。 微博（14.4万）：永困王,https://www.zhihu.com/question/41931111/answer/901497054
狗老师基本情况,综合知识/泛科普,17234,1,1,0,0,0,1,狗老师基本情况： 无瑕疵 |五官小巧 用一句话形容狗老师，古灵精怪的美人儿。 五官小巧精致，也是我很爱的颜，很合大家眼缘的长相。 虽然现在粉丝不多，但是我有预感，一定会火起来的？！,https://www.zhihu.com/question/41931111/answer/901497054
甜er的基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,甜er的基本情况： 痘痘肌 |瑕疵皮 | 泪沟 | 黑眼圈 化完妆仿佛磨了一层皮，出了很多干货美妆技巧，尤其是遮瑕系列一定要看。如果你是化妆新手，那么大佬甜er的视频，千万不要错过。 太喜欢最近新出的这个灵动小雀斑妆，舔颜。,https://www.zhihu.com/question/41931111/answer/901497054
罐子基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,罐子基本情况： 混油皮 | 痘痘肌 罐子的风格偏欧美风，眼妆很出色，喜欢创意欧美妆的一定要关注，配色和修容创意都让人很惊艳，偶尔也会分享辣妹穿搭。 微博（16万）：罐罐子_,https://www.zhihu.com/question/41931111/answer/901497054
脸脸基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,脸脸基本情况： 内双 | 下巴短 | 中庭长 | 长脸 妥妥的技术流，良心教技巧的博主。经常会发分析明星妆容的图片教程，对于不同需求的小盆友都很有借鉴意义。 微博（43万）：大脸怪哪里跑,https://www.zhihu.com/question/41931111/answer/901497054
萌大雨YUYU,综合知识/泛科普,17234,1,1,0,0,0,1,7.萌大雨YUYU 大雨基本情况： 脸颊泛红 | 毛孔粗大 | 微胖 大雨走乡村名媛路线，经常被她逗逼到。 同是河南人，从她刚开始第一条视频火起来就开始关注，见证了她从216斤减到136斤。,https://www.zhihu.com/question/41931111/answer/901497054
视频基本情况,综合知识/泛科普,17234,1,1,0,1,0,0,视频基本情况： 简单 | 高级 | 质感 我这个月月初发现的宝藏up主。 模特出镜，妆容干净且高级，剪辑配色都很有自己的风格。 博主的号很年轻，b站从今年九月中旬开始更新，现在已经八千粉了。,https://www.zhihu.com/question/41931111/answer/901497054
路一同,综合知识/泛科普,17234,1,1,0,1,0,0,11.路一同 一同基本情况： 闭口 | 瑕疵皮 “我觉得化妆是让你自己出门的时候，觉得是自己最舒服的状态。” “她的好看不是来源于肤色，她的好看是她本来就是好看的人类。”,https://www.zhihu.com/question/41931111/answer/901497054
所长林超,综合知识/泛科普,16884,3,3,0,3,0,0,所长林超 ：up主结合时事分析当前世界发展态势，逻辑清晰，思路明确。 方猫boom ：很多东西都是我们身边经常接触到的。 杜滑滑 ：有很多好看的纪录片，IMAX、Netflix、探索频道、CCTV等。 纪录片之家字幕组 ：很多纪录片资源哦，且个人感觉这些纪录片还蛮小众的，精致的美。,https://www.zhihu.com/question/291506148/answer/2810334107
尚硅谷,计算机/编程,16770,6,4,2,2,0,4,尚硅谷,https://www.zhihu.com/question/352485583/answer/1237689063
睡前消息,人文社科/国际政治,16758,6,2,4,0,0,6,9.迫切寻求解决办法，发现看睡前消息可以缓解焦虑，开始关注马督工账号,https://www.zhihu.com/question/546163254/answer/2859376030
音乐,综合知识/泛科普,16684,3,3,0,3,0,0,6. 音乐 硬核麻将 ：讲解很厉害的操作，深入混音，告别野鸡教程 音樂家的無聊人生 ：分享很多动听音乐。 蝙蝠音乐 ：midi音乐制作与效果器方面的使用，还有很多编曲软件的教学，同时还有很多国外熟肉视频。,https://www.zhihu.com/question/291506148/answer/2810334107
0826更新,语言/英语,16651,1,1,0,0,0,1,0826更新：点赞破k了~~谢谢大家的支持！部分Up主的ID有误已经更改，感谢指正！ @守望 @没长大的男人 不过收藏是点赞的4倍，你们真的有去学习嘛？？从现在开始行动，比放在收藏夹吃灰要更有意义！,https://www.zhihu.com/question/292372507/answer/798456280
English Tube,语言/英语,16651,1,1,0,0,0,1,2、English Tube 有非常多练习英语听力、发音的课程合集，以及 239集TED演讲高清合集 ，非常齐全。 如果你是英语零基础或者家里有小孩也不用担心， 趣味少儿英语高清合集 、 144集英文动画童话故事高清合集 不要错过！,https://www.zhihu.com/question/292372507/answer/798456280
Erin是松果妈妈,语言/英语,16651,1,1,0,0,0,1,8、Erin是松果妈妈 刚来B站没多久的Up，关于英语的口语练习、听力练习、托福备考都有分享，视频几乎全英文也可以帮助练习听力~ 托福114分小姐姐手把手教你练听力口语 9、顺子Chloe 17岁学霸Up，15岁雅思8.0，马上要出国读大学了，视频主要分享学习的经验方法~,https://www.zhihu.com/question/292372507/answer/798456280
Jachoy,语言/英语,16651,1,1,0,0,0,1,9、Jachoy 搬运外网上的一些学习方法、学习Vlog、学习习惯等，会有中文字幕。还有 【陪你学习】 系列，就是播放静心学习的背景音乐，如果在学习的时候打开，会有一种不是一个人在学习的感觉。 主页链接： Jachoy,https://www.zhihu.com/question/292372507/answer/798456280
LJ读书笔记,语言/英语,16651,1,1,0,0,0,1,8、LJ读书笔记 Up上传了很多英语学习的合集，包括口语、词汇、 经济学人精讲 、TED精选合集等，还有 笔译二三级真题及冲刺 。 主页链接： LJ读书笔记 9、Jachoy 搬运外网上的一些学习方法、学习Vlog、学习习惯等，会有中文字幕。还有 【陪你学习】 系列，就是播放静心学习的背景音乐，如果在学习的时候打开，会有一种不是一个人在学习的感觉。,https://www.zhihu.com/question/292372507/answer/798456280
一起暴击口语,语言/英语,16651,1,1,0,0,0,1,1、一起暴击口语 这里有超级全的发音教程合集： BBC经典发音教程 、 赖世雄美语音标 、 Paul大爷美语发音教程 ……害怕发音不标准？这么多视频跟着读就对了！ 2、English Tube 有非常多练习英语听力、发音的课程合集，以及 239集TED演讲高清合集 ，非常齐全。,https://www.zhihu.com/question/292372507/answer/798456280
守望,语言/英语,16651,1,1,0,0,0,1,0826更新：点赞破k了~~谢谢大家的支持！部分Up主的ID有误已经更改，感谢指正！ @守望 @没长大的男人 不过收藏是点赞的4倍，你们真的有去学习嘛？？从现在开始行动，比放在收藏夹吃灰要更有意义！,https://www.zhihu.com/question/292372507/answer/798456280
小谷健身,语言/英语,16651,1,1,0,0,0,1,10、小谷健身 Up主搬运了很多国外健身教练的视频，如果你想要健（jian）身(fei），可以一边运动一边练听力，不过没有中文字幕。 主页链接： 小谷健身 最后，大家也可以关注我的外刊专栏，每天看篇外刊学点英文~,https://www.zhihu.com/question/292372507/answer/798456280
庄七,语言/英语,16651,1,1,0,1,0,0,5、庄七 Up上传了非常多的公开课合集，不仅限于英语学习。包括 教你读英文原著 、 看电影学英语 、 英语怎么增加词汇量 、 高效笔记术 、 时间管理法则 …… 6、暂时没想好名字233 Up主要从YouTube上搬运学习Vlog、手账、文具、子弹笔记、房间改造等等视频，有很多Mariana小姐姐的视频，有的英文视频Up自己还加了中文字幕，方便食用。,https://www.zhihu.com/question/292372507/answer/798456280
没长大的男人,语言/英语,16651,1,1,0,0,0,1,0826更新：点赞破k了~~谢谢大家的支持！部分Up主的ID有误已经更改，感谢指正！ @守望 @没长大的男人 不过收藏是点赞的4倍，你们真的有去学习嘛？？从现在开始行动，比放在收藏夹吃灰要更有意义！,https://www.zhihu.com/question/292372507/answer/798456280
红茶不要柠檬,语言/英语,16651,1,1,0,0,0,1,4、红茶不要柠檬 分享的资料可以练习听力，包括 听力合集 、 托福听力模考 以及 英文故事 。 主页链接： 红茶不要柠檬 5、庄七 Up上传了非常多的公开课合集，不仅限于英语学习。包括 教你读英文原著 、 看电影学英语 、 英语怎么增加词汇量 、 高效笔记术 、 时间管理法则 ……,https://www.zhihu.com/question/292372507/answer/798456280
英国小克里,语言/英语,16651,1,1,0,1,0,0,3、英国小克里 Up是英国人，剑桥大学中文系毕业，中文说的超级好，如果对英国腔感兴趣可以关注。除了发音，Up还会对我们在英文学习中常用的，但是用错的单词或表达进行讲解，非常实用。 关于either和neither如何区分 ？,https://www.zhihu.com/question/292372507/answer/798456280
英国普罗派乐卫视,语言/英语,16651,1,1,0,0,0,1,3、英国普罗派乐卫视 英文的演讲、明星的访谈、节目的片段、学习的方法……闲的无聊或者想要放松一下，就来看看。 主页链接： 英国普罗派乐卫视 4、红茶不要柠檬 分享的资料可以练习听力，包括 听力合集 、 托福听力模考 以及 英文故事 。,https://www.zhihu.com/question/292372507/answer/798456280
英语小救星,语言/英语,16651,1,1,0,0,0,1,5、英语小救星 Up会从美剧中选择一句台词，先慢速领读一遍再正常语速读一遍，分析句子的语言现象重读弱读连读等，更新频率很高，如果跟着学口语会提升很快。 如何提高英语口语的语速？ 6、Junn杰俊,https://www.zhihu.com/question/292372507/answer/798456280
雅思屠鸭哥,语言/英语,16651,1,1,0,0,0,1,7、雅思屠鸭哥 主要分享的是雅思备考干货，雅思口语、阅读、写作，如果你要考雅思会很有帮助~ 主页链接： 雅思屠鸭哥 8、LJ读书笔记 Up上传了很多英语学习的合集，包括口语、词汇、 经济学人精讲 、TED精选合集等，还有 笔译二三级真题及冲刺 。,https://www.zhihu.com/question/292372507/answer/798456280
Thomas看看世界,艺术/审美,16428,2,2,0,1,0,1,托马斯最早应该是在知乎上火的吧 @Thomas看看世界 2019国家地理摄影大赛全球冠军,https://www.zhihu.com/question/312241261/answer/1066491001
上文已经提到过老番茄的两个特征,综合知识/泛科普,15851,1,1,0,1,0,0,上文已经提到过老番茄的两个特征： 有趣、优秀。 然后我们再来审视下B站的定位： 以ACG文化为主，面向广大年轻群体的青年文化平台。 而老番茄的视频类型，即游戏视频，精准踩中ACG中的“ G （game） 点 ”，并且以高质量的口碑俘获了多数游戏区用户的胃口。,https://www.zhihu.com/question/30866080/answer/814011801
1995年,综合知识/泛科普,15418,1,1,0,0,0,1,1995年 - 11月14日 他降临在了这个冷漠的世界 2014年 - 11月30日 - 中午12:00前 他在绝望中发了25条微博后 “被迫”选择了自杀,https://www.zhihu.com/question/60609552/answer/1005455600
2014年,综合知识/泛科普,15418,1,1,0,0,0,1,2014年 - 11月30日 - 中午12:00前 他在绝望中发了25条微博后 “被迫”选择了自杀 B站up主: Neuuuuu 死于「在人间的恶魔」,https://www.zhihu.com/question/60609552/answer/1005455600
144集英文动画童话故事,语言/英语,15184,1,1,0,1,0,0,144集英文动画童话故事： https://www. bilibili.com/video/av46 525094 【单词】 英语词根词缀讲解全集：每集时长几分钟，实用易懂，上手快还好坚持。传送门： https://www. bilibili.com/video/av51 475076 【语法】,https://www.zhihu.com/question/265883810/answer/990584633
Astronomy,语言/英语,15184,1,1,0,0,0,1,Astronomy： https://www. bilibili.com/video/av54 715092 World Mythology： https://www. bilibili.com/video/av86 94513 Engineering： https://www. bilibili.com/video/av54 722755,https://www.zhihu.com/question/265883810/answer/990584633
Engineering,语言/英语,15184,1,1,0,1,0,0,Engineering： https://www. bilibili.com/video/av54 722755 Crash Course Government and Politics ： https://www. bilibili.com/video/av62 06346 搬运翻译up主推荐：,https://www.zhihu.com/question/265883810/answer/990584633
Google机器学习,计算机/编程,15184,1,1,0,0,0,1,Google机器学习： https://www. bilibili.com/video/av20 229263 创业： https://www. bilibili.com/video/av85 233281,https://www.zhihu.com/question/265883810/answer/990584633
Proko光影和明暗的基础教程,语言/英语,15184,1,1,0,1,0,0,Proko光影和明暗的基础教程： https://www. bilibili.com/video/av96 49812 其他绘画类高质量教程： 【素描课】徐磊 | 25p ： https://www. bilibili.com/video/av36 244606/ 【素描绘画教程】3D-Maker | 31p： https://www. bilibili.com/video/av25 066654/,https://www.zhihu.com/question/265883810/answer/990584633
Proko更全,语言/英语,15184,1,1,0,1,0,0,推荐给想要系统学习绘画的朋友，讲解非常细致有趣。视频节奏很好，笑点很及时，制作很精美。唯一的缺点是B站视频不太全，微博@Proko更全，能科学养鹅当然最全hhh。,https://www.zhihu.com/question/265883810/answer/990584633
Proko给新手的基础解剖课,语言/英语,15184,1,1,0,0,0,1,Proko给新手的基础解剖课： https://www. bilibili.com/video/av31 111830 Proko免费系列- 头像五官画法： https://www. bilibili.com/video/av45 940470 Proko光影和明暗的基础教程： https://www. bilibili.com/video/av96 49812,https://www.zhihu.com/question/265883810/answer/990584633
Series级数,语言/英语,15184,1,1,0,0,0,1,Series级数： https://www. bilibili.com/video/av52 731458 傅里叶级数： https://www. bilibili.com/video/av21 781353 欧洲史： https://www. bilibili.com/video/av62 231124,https://www.zhihu.com/question/265883810/answer/990584633
World Mythology,语言/英语,15184,1,1,0,0,0,1,World Mythology： https://www. bilibili.com/video/av86 94513 Engineering： https://www. bilibili.com/video/av54 722755 Crash Course Government and Politics ： https://www. bilibili.com/video/av62 06346,https://www.zhihu.com/question/265883810/answer/990584633
proko如何画手,语言/英语,15184,1,1,0,0,0,1,proko如何画手： https://www. bilibili.com/video/av28 986641 Proko给新手的基础解剖课： https://www. bilibili.com/video/av31 111830 Proko免费系列- 头像五官画法： https://www. bilibili.com/video/av45 940470,https://www.zhihu.com/question/265883810/answer/990584633
rio老师,语言/英语,15184,1,1,0,0,0,1,@rio老师 ：长难句讲解~,https://www.zhihu.com/question/265883810/answer/990584633
不可能的存在之真,文学/读书,15184,1,1,0,0,0,1,【不可能的存在之真：拉康哲学映像】张一兵： https://www. bilibili.com/video/av69 71448/ 【中国古典哲学名著选读 】秦平： https://www. bilibili.com/video/av11 580308/ 【中国古典哲学名著选读】杜小安： https://www. bilibili.com/video/av11 579994/,https://www.zhihu.com/question/265883810/answer/990584633
世界史第一季,语言/英语,15184,1,1,0,0,0,1,世界史第一季： https://www. bilibili.com/video/av38 72453/ 世界史第二季： https://www. bilibili.com/video/av78 06554 数字信息指南： https://www. bilibili.com/video/av60 558759,https://www.zhihu.com/question/265883810/answer/990584633
世界史第二季,历史/军事,15184,1,1,0,0,0,1,世界史第二季： https://www. bilibili.com/video/av78 06554 数字信息指南： https://www. bilibili.com/video/av60 558759 大历史（两季）： https://www. bilibili.com/video/av62 623825/,https://www.zhihu.com/question/265883810/answer/990584633
丝绸之路,文学/读书,15184,1,1,0,0,0,1,【丝绸之路：旧史今时】葛剑雄 | 复旦大学 | 6p： https://www. bilibili.com/video/av78 69440 【宗教改革史】朱孝远 | 北京大学 | 52p： https://www. bilibili.com/video/av11 065130/ 【欧洲文艺复兴】朱孝远 | 北京大学 | 106p： https://www. bilibili.com/video/av68 084565,https://www.zhihu.com/question/265883810/answer/990584633
传播学,语言/英语,15184,1,1,0,0,0,1,传播学： https://www. bilibili.com/video/av32 177692/ 统计学： https://www. bilibili.com/video/av20 624185/ 学习技能： https://www. bilibili.com/video/av16 785517/,https://www.zhihu.com/question/265883810/answer/990584633
傅里叶级数,艺术/审美,15184,1,1,0,0,0,1,傅里叶级数： https://www. bilibili.com/video/av21 781353 欧洲史： https://www. bilibili.com/video/av62 231124 艺术史： https://www. bilibili.com/video/av46 632023,https://www.zhihu.com/question/265883810/answer/990584633
其他绘画类高质量教程,语言/英语,15184,1,1,0,1,0,0,其他绘画类高质量教程： 【素描课】徐磊 | 25p ： https://www. bilibili.com/video/av36 244606/ 【素描绘画教程】3D-Maker | 31p： https://www. bilibili.com/video/av25 066654/,https://www.zhihu.com/question/265883810/answer/990584633
几何学,语言/英语,15184,1,1,0,0,0,1,几何学： https://www. bilibili.com/video/av14 188001 宏观经济学： https://www. bilibili.com/video/av16 248918 微观经济学： https://www. bilibili.com/video/av44 381662,https://www.zhihu.com/question/265883810/answer/990584633
创业,语言/英语,15184,1,1,0,0,0,1,创业： https://www. bilibili.com/video/av85 233281,https://www.zhihu.com/question/265883810/answer/990584633
史上最容易听懂的PS入门基础教程,语言/英语,15184,1,1,0,0,0,1,史上最容易听懂的PS入门基础教程： https://www. bilibili.com/video/av45 48006/ CINEMA 4D快速入门教程（全20集）： https://www. bilibili.com/video/av49 80447/ 旁门左道 | PPT YJango | 学习技巧,https://www.zhihu.com/question/265883810/answer/990584633
史上最强日语五十音图入门,语言/英语,15184,1,1,0,0,1,0,史上最强日语五十音图入门：苏曼老师真的很可爱！各种联想帮你一起记住五十音图，不过要小心老师的口水音哦。传送门： https://www. bilibili.com/video/av24 76362 【语法】 0到N1+ 安宁老师 日语语法新思维 全本朗读，传送门： https://www. bilibili.com/video/av52 354062 【综合】 新编中日交流标准日本语初级(50集）： https://www. bili…,https://www.zhihu.com/question/265883810/answer/990584633
叶子老师新标日,语言/英语,15184,1,1,0,1,0,0,叶子老师新标日： https://www. bilibili.com/video/av30 60477 up主推荐： @菇哒日语频 ：自学日语可以关注一下，还会教你唱歌呢hhh 技能类 proko | 绘画,https://www.zhihu.com/question/265883810/answer/990584633
周传基讲电影,语言/英语,15184,1,1,0,0,0,1,【周传基讲电影】： https://www. bilibili.com/video/av28 871321 【影片赏析】戴锦华： https://www. bilibili.com/video/av46 20005 【电影史话】马·卡曾斯： https://www. bilibili.com/bangumi/me dia/md25452,https://www.zhihu.com/question/265883810/answer/990584633
哲学,语言/英语,15184,1,1,0,0,0,1,哲学： https://www. bilibili.com/video/av13 762839/ 游戏： https://www. bilibili.com/video/av20 656596 传播学： https://www. bilibili.com/video/av32 177692/,https://www.zhihu.com/question/265883810/answer/990584633
四六级词汇,语言/英语,15184,1,1,0,1,0,0,四六级词汇： https://www. bilibili.com/video/av73 034589 四六级语法和长难句： https://www. bilibili.com/video/av73 245975 up主推荐： @Real麦克老师 ：跟着外国小哥学英语！看他的视频会知道外国人是怎么学英语哒~,https://www.zhihu.com/question/265883810/answer/990584633
四六级语法和长难句,语言/英语,15184,1,1,0,1,0,0,四六级语法和长难句： https://www. bilibili.com/video/av73 245975 up主推荐： @Real麦克老师 ：跟着外国小哥学英语！看他的视频会知道外国人是怎么学英语哒~ @A路人 ：非常鬼畜的英语up主，推荐他的「洋屁教室 | 让英语做你的舔狗」来学习语法！老大赛高！,https://www.zhihu.com/question/265883810/answer/990584633
基础代数,语言/英语,15184,1,1,0,0,0,1,基础代数： https://www. bilibili.com/video/av68 500141/ AP微积分AB/BC： https://www. bilibili.com/video/av54 443746 Series级数： https://www. bilibili.com/video/av52 731458,https://www.zhihu.com/question/265883810/answer/990584633
基础化学,生物/医学健康,15184,1,1,0,0,0,1,基础化学： https://www. bilibili.com/video/av62 150339 生物学： https://www. bilibili.com/video/av62 143939 物理学-上： https://www. bilibili.com/video/av61 843201,https://www.zhihu.com/question/265883810/answer/990584633
学习技能,语言/英语,15184,1,1,0,0,0,1,学习技能： https://www. bilibili.com/video/av16 785517/ 知识产权： https://www. bilibili.com/video/av54 90679 世界神话： https://www. bilibili.com/video/av86 94513/,https://www.zhihu.com/question/265883810/answer/990584633
宏观经济学,语言/英语,15184,1,1,0,0,0,1,宏观经济学： https://www. bilibili.com/video/av16 248918 微观经济学： https://www. bilibili.com/video/av44 381662 统计学： https://www. bilibili.com/video/av16 250706,https://www.zhihu.com/question/265883810/answer/990584633
密码学,语言/英语,15184,1,1,0,0,0,1,密码学： https://www. bilibili.com/video/av86 5564 英语语法： https://www. bilibili.com/video/av45 888202 人体解剖学和生理学 [血液系统]： https://www. bilibili.com/video/av19 577885,https://www.zhihu.com/question/265883810/answer/990584633
带字幕传送门,数学/物理,15184,1,1,0,0,0,1,带字幕传送门： 线性代数： https://www. bilibili.com/video/av39 837804 微积分预备： https://www. bilibili.com/video/av14 223492,https://www.zhihu.com/question/265883810/answer/990584633
带字幕合集传送门,生物/医学健康,15184,1,1,0,0,0,1,带字幕合集传送门： 生物学： https://www. bilibili.com/video/av21 69964 心理学： https://www. bilibili.com/video/av17 86361,https://www.zhihu.com/question/265883810/answer/990584633
微积分,语言/英语,15184,1,1,0,0,0,1,微积分： https://www. bilibili.com/video/av12 887175 基础代数： https://www. bilibili.com/video/av68 500141/ AP微积分AB/BC： https://www. bilibili.com/video/av54 443746,https://www.zhihu.com/question/265883810/answer/990584633
微积分预备,语言/英语,15184,1,1,0,0,0,1,微积分预备： https://www. bilibili.com/video/av14 223492 微积分： https://www. bilibili.com/video/av12 887175 基础代数： https://www. bilibili.com/video/av68 500141/,https://www.zhihu.com/question/265883810/answer/990584633
微观经济学,财经/商业,15184,1,1,0,0,0,1,微观经济学： https://www. bilibili.com/video/av44 381662 统计学： https://www. bilibili.com/video/av16 250706 金融学-1： https://www. bilibili.com/video/av22 282748,https://www.zhihu.com/question/265883810/answer/990584633
悖论,哲学,15184,1,1,0,0,0,1,【悖论：思维的魔方】陈波 | 北京大学 | 82p ： https://www. bilibili.com/video/av94 19912/ 【维特根斯坦的哲学观】韩临合 北京大学 | 3p： https://www. bilibili.com/video/av43 218252 【新伦理学】王海明 | 北京大学 | 87p： https://www. bilibili.com/video/av11 086154/,https://www.zhihu.com/question/265883810/answer/990584633
技能类,语言/英语,15184,1,1,0,1,0,0,技能类：绘画/后期/ppt/学习技巧等up主推荐。 综合类 一、十分钟速成课 出自Crash Course，首发YouTube，包含心理学、解剖与生理、历史、知识产权、经济学、物理、哲学、影视鉴赏等系列。 单个视频时长均在10分钟左右，系列视频总数在20~40不等。视频节奏非常好，语速偏快，适合下饭时间 入门了解 。,https://www.zhihu.com/question/265883810/answer/990584633
数字信息指南,语言/英语,15184,1,1,0,0,0,1,数字信息指南： https://www. bilibili.com/video/av60 558759 大历史（两季）： https://www. bilibili.com/video/av62 623825/ 科学史： https://www. bilibili.com/video/av62 623825/,https://www.zhihu.com/question/265883810/answer/990584633
无字幕练听力合集传送门,语言/英语,15184,1,1,0,0,0,1,无字幕练听力合集传送门： Theater and Drama ： https://www. bilibili.com/video/av85 108235 Astronomy： https://www. bilibili.com/video/av54 715092,https://www.zhihu.com/question/265883810/answer/990584633
有机化学,生物/医学健康,15184,1,1,0,0,0,1,有机化学： https://www. bilibili.com/video/av62 155477 基础化学： https://www. bilibili.com/video/av62 150339 生物学： https://www. bilibili.com/video/av62 143939,https://www.zhihu.com/question/265883810/answer/990584633
欧洲史,艺术/审美,15184,1,1,0,0,0,1,欧洲史： https://www. bilibili.com/video/av62 231124 艺术史： https://www. bilibili.com/video/av46 632023 美国史： https://www. bilibili.com/video/av62 237939,https://www.zhihu.com/question/265883810/answer/990584633
物理学-上,语言/英语,15184,1,1,0,0,0,1,物理学-上： https://www. bilibili.com/video/av61 843201 物理学-下： https://www. bilibili.com/video/av61 842299/ 音乐课： https://www. bilibili.com/video/av50 334704,https://www.zhihu.com/question/265883810/answer/990584633
物理学-下,语言/英语,15184,1,1,0,0,0,1,物理学-下： https://www. bilibili.com/video/av61 842299/ 音乐课： https://www. bilibili.com/video/av50 334704 天文学： https://www. bilibili.com/video/av47 665877,https://www.zhihu.com/question/265883810/answer/990584633
生态学,计算机/编程,15184,1,1,0,0,0,1,生态学： https://www. bilibili.com/video/av52 54400 计算机科学： https://www. bilibili.com/video/av21 376839 Google机器学习： https://www. bilibili.com/video/av20 229263,https://www.zhihu.com/question/265883810/answer/990584633
白花恋诗·彩,语言/英语,15184,1,1,0,0,0,1,@白花恋诗·彩 ：长期搬运翻译更新十分钟速成课系列视频。,https://www.zhihu.com/question/265883810/answer/990584633
盛世下的忧患,语言/英语,15184,1,1,0,0,0,1,【盛世下的忧患——中西关系视角下的康雍乾盛世】欧阳哲生 | 北京大学 | 3p： https://www. bilibili.com/video/av85 00170/ 【丝绸之路：旧史今时】葛剑雄 | 复旦大学 | 6p： https://www. bilibili.com/video/av78 69440 【宗教改革史】朱孝远 | 北京大学 | 52p： https://www. bilibili.com/video/av11 0…,https://www.zhihu.com/question/265883810/answer/990584633
